id,occupation,experience_text,published_date
87,بلاگر,"«من یه بلاگر ام کلی محصول خریدم که پیجم او رونق بدم در امد داشته باشم نزدیک به ۳۰یا۴۰میلیون پول دادم جنس خریدم آنان بدبخت شدم رسما کل دارایی ام شده ۹تا کارتن جنس که روز به روز دارن به تاریخ انقضا شون نزدیک تر میشن خیلی هاشون ریختم بیرون چون خراب شده بودن لوازم آرایشی و بهداشتی بودن کلن زندگی ام به فنا رفته 
رسما دارم افسرده میشم»",2026-05-19 00:00:00.000 +0330
88,گیمر,«من یه پی وی پیر ماینکرفت هستم که تازه اکانت پریمیوم یک میلیونی خریده بودم تا تولید محتوا کنم ولی چون نتا خراب شد نمی‌تونم تو اون سرورهایی که میخواستم برم»,2026-05-19 00:00:00.000 +0330
89,دانش آموز,"«درود 
من یه دانش اموز پایه نهم هستم که برای ازمون تیزهوشان ورودی نهم به دهم کلی پی دی اف کتاب تست و... تو تلگرام داشتم و الان که اینترنت قطعه من هیچ کاری نکردم و هیچ پلنی برای این ازمون ندارم💔»",2026-05-19 00:00:00.000 +0330
90,گیمر,«من بازی gore box رو بازی میکردم، اما الان که نت قطع شده، آرزوم دیدن حتی آیکون بازیه:)))»,2026-05-18 00:00:00.000 +0330
91,گیمر,«بعد از ۱ سال زحمت و کار و وام گرفتن تونستم ایکس‌باکس سری ایکس بخرم ولی با این وضعیت اینترنت نمیتونم آنلاین بازی کنم و حتا بازی کنم»,2026-05-18 00:00:00.000 +0330
92,نامشخص,«ما رابطه 7 ساله لانگ دیستنسمون رو به خاطر قطعی اینترنت مجبور شدیم تموم کنیم. با اینکه خیلی جدی بود و همدیگه رو میخواستیم. تلاش کردیم با تماس خارج از کشور با هم در ارتباط باشیم اما سراسر یاس و ناامیدی بود. فکر نمیکنم هرگز کسی رو بتونم مثل اون تو زندگیم دیگه دوست داشته باشم. و انقدر زخمش عمیقه که تحت درمان روانپزشکی هستم تا شاید کمی بتونم روزامو بگذرونم»,2026-05-18 00:00:00.000 +0330
93,دانشجو,«همهٔ تفریحاتمون رو چه آکادمیک چه غیرآکادمیک گرفته‌ان. من هر کلمه‌ای تو هر زبونی که می‌دیدم سریع می‌رفتم سراغ Wiktionary و اونجا بود که با دیدن و کشف کردن سرشار از ذوق می‌شدم. که اونم نزدیک یک سوم امسال بهش دسترسی نداشتم.»,2026-05-18 00:00:00.000 +0330
94,"دانشجو, مترجم, راهنمای تور",«تنها راه فرارم از این دنیا یه گیم «وورلد آف وارکرفت» بود که برعکس بقیه نه برای پول درآوردن، بلکه صرفا برای خوش گذرونی بازی میکردم، ماه ها پس انداز کردم تا بتونم یه سابسکریپشن ساده که خارج از ایران هم قیمت یه پیتزای سادست رو بگیرم، اوج کارمم تو این بازی صحبت با دوستای مختلفم از دور دنیا بود، دلم برای الیاس از یونان، بیورن از نروژ و بقیه دوستام خیلی تنگ شده، اونا تنها دوستام بودن.»,2026-05-18 00:00:00.000 +0330
95,طراح سایت,"«من یه طراح سایتم تازه کارم رو میخواستم شروع کنم،با مشتری صحبت کردم و همچی اوکی شد و قرار شد فرداش استارت کار رو بزنم که همون شب اعتراضات دی ماه شد و همه چی به باد رفت بعد اینکه جریان ها تموم شد و زنگ زدم که استارت بزنیم گفت پروژه اوکی شده تو اون زمان ها داده بود برا کسی که به اینترنت بین‌المللی دسترسی داشت
تو این جنگ هم اتفاق مشابهش افتاد و الان امیدی ندارم دیگه خیر سرم میخواستم بار اضافه رو دوش خانوادم نباشم تو این وضع گرونی .‌..»",2026-05-18 00:00:00.000 +0330
96,صاحب آموزشگاه برنامه نویسی,«ما یک آموزشگاه برنامه نویسی هستیم قبل جنگ کلی دوره قرار بود تشکیل بشه اما‌ مجبور شدیم برای قطعی اینترنت اون دوره ها رو حذف کنیم و کلی پول پس بدهیم و ضرر کردیم و الان هم دوره هایی که از قبل مانده بودند همه نصفه و نیمه مانده اند و ‌کلی چیز دیگه هست که توی سایت هایی بودند که الان دسترسی به آنها نداریم»,2026-05-18 00:00:00.000 +0330
97,دانشجو,«من competitive progarmammer بودم و چند سال بود توی سایت codeforces مسابقه میدادم و  هر روز سوال حل میکردم و خیلی چیزا یاد میگرفتم الان80 روزه به اکانتم دسترسی ندارم و این تنها دغدغه ام نیست اینترنت یک نیاز حیاتیه و قطع کردنش هیچ توجیهی نداره»,2026-05-18 00:00:00.000 +0330
98,"طراح گرافیک , ادیتور","«من تازه یه کار جدید شروع کردم و قرار بود بعد کارآموزی استخدام شم، بعد قطعی اینترنت شرکت نصف نیروهاشو تعدیل کرد و مسلما به منم نیاز نداشتن.
شغل دومم که کارای گرافیکی و ادیت بود که اونم با قطعی اینترنت به فنا رفت.»",2026-05-18 00:00:00.000 +0330
99,حسابدار,«واقعا دلم‌میگیره بخوام بگم .من یک دانشجوی کارشناسی که تازه فارغ التحصیل شدم منتظر کنکور ارشد بودم که تاریخش معلوم نیست کی بشه . تنها تفریحم این بود که برگردم از سر کار بشینم بازی کنم و تو تیک تاک و اینستا بچرخم . الان دیگه معلوم نیست آیا کنکور برگذار بشه یا نه که بتونم به زندگیم برسم و سربازی نرم و کار کنم و نه اینکه سرگرمی دارم که بخوام حوصلم سر نره . کاش تو ایران به دنیا نیومده بودیم . کاش ایرانی نبودیم»,2026-05-18 00:00:00.000 +0330
100,دانش آموز,«من ی دانش اموز هستم.که تنها راهی که سرگرم میشدم کالاف.اینستا.یوتوب بود و الان که اینترنت قطعه فقط دارم تو خونه بیکار راه میرم»,2026-05-18 00:00:00.000 +0330
101,پژوهشگر,«من پژوهشگرم و با قطع اینترنت دسترسی به مقالات خارجی برام ممکن نیست. بسیاری از کارهای تحقیقاتی ام مانده و نمی‌دانم چه کنم»,2026-05-18 00:00:00.000 +0330
102,دانش آموز,«درود، من یه دانش آموز کلاس نهمم. جدا از اینکه هیچ امیدی به آینده نداریم و معلم ها حتی درس هم نمیدن و به یه سری اپ هایی مثل چت جی پی تی و یوتیوب برای اموزش نیاز داریم، تنها تفریحمون همین اینترنته. من سعی میکردم کنار درس خوندن روی یاد گرفتن زبان و موسیقی و ساز زدن هم تمرکز کنم همیشه با یوتیوب پیش میرفتم ولی الان سه ماهه فقط دارم در و دیوارو میبینم هیچ سرگرمی دیگه ای ندارم. هیچ انگیزه ای هم برای درس خوندن باقی نمونده.»,2026-05-17 00:00:00.000 +0330
103,برنامه نویس اینترنت اشیا,«برنامه نویس اینترنت اشیا ام و یکی از پروژه های فورسی که داشتیم انلاین سازی یه سری از سیستما بود نزدیک چند میلیارد چک داده بودیم که وسایل شون رو تهیه کنیم که توی این تایم اون پروژه هم پرید و الان من موندم و کلی چک که نمیتونم پاس شون کنم .»,2026-05-17 00:00:00.000 +0330
104,گیمر,«من یک گیمر هستم اکثرا با گیم کالاف دیوتی موبایل یا گیم میزدم سرگرم میشدم و وقتی کارم بعد چند ماه تموم میشد اکانتم رو برای فروش میزاشتم و با پولش یک اکانت دیگه می‌خریدم و با همین چرخه پول کرایه خونمو جور میکردم ولی الان ۵ ماه هست که کرایه رو عقب انداختم...........»,2026-05-17 00:00:00.000 +0330
105,استریمر,"«من یک استریمر هستم که تولید محتوا می کنم
از وقتی که نت ها قطع شده نمی تونم دیگه مثل قبل گیم بزنم و کسب درآمد کنم و در خیلی هارو شاد کنم
تنها دل خوشی من این بود که با بچه های چت استریم گیم می‌زدیم و کلی خوشحالی میکردیم»",2026-05-17 00:00:00.000 +0330
106,دانشجو,"«تازه وارد دانشگاه شده بودم، رشته مهندسی کامپیوتر. ولی خب وضعیت دانشگاه خیلی خوب نیست و با مجازی بودن که هیچی نمیشه فهمید. میخواستم جاوا اسکریپت یاد بگیرم تا بتونم ی کار خوب برای خودم دست و پا کنم.ولی خب الان حتی اموزش خوب هم نمیشه پیدا کرد چه برسه به کار.
خواستم برم سراغ ی کار عملی. ولی کارش یا مهارت بالایی میخواد که من ندارم یا باید برای اموزشش برم کلاس حضوری تهران که با این وضعیت جنگ امکان پذیر نیست.
بی هدف، نشستم و گیم میزنم تا زمان بگذره...»",2026-05-17 00:00:00.000 +0330
107,دانشجو,"«چقدر زندگی برای ما توی ایران ناعادلانه هس😭
منم از وقتی که اینترنت قطع شده نتونستم دوره های تخصصی که توی یوتویوب دنبال میکردم یا از تلگرام خریده بودمو ببینم برنامه داشتم بعد دیدن اونا توی سایت و شرکتا دنبال کار باشم ولی الان همه برنامم بهم ریخته و حتی برای یادگیری درسای دانشگاهم نیاز به اینترنت و دسترسی های بیشتری دارم 
تو این شرایطی که زندگی معیشتی به همه فشار اورده و هزینه های زندگی بالاس حداقل اینترنت آزاد و مثل قبل باشه و برای وی پی ان هزینه نکنیم 😭»",2026-05-17 00:00:00.000 +0330
108,نامشخص,«اگه یه قعطی معمولی بود میتونسیم بگیم برای امنیت ولی اینترت پرو رو خود دولت رونمایی کرده و چیزی که برای این نسل مثل اکسیژن میمونه رو پولی و طبقه بندی کرده»,2026-05-17 00:00:00.000 +0330
109,متخصص وردپرس,«فریلنسرم ادمین چند تا سایت بودم که بخاطر قطعی اینترنت و نداشتن فروش تعدیلم کردن و گفتن هزینه اضافیه.الان دو ماهه بیکارم ولی بمیرمم از اینترنت پرو استفاده نمیکنم»,2026-05-17 00:00:00.000 +0330
110,بازی ساز,«من کارم بازی سازی و فتوشاپ بود ازین راه کلی درآمد داشتم الآنم با قطع اینترنت حتی پول ندارم همین پول اینترنت اشغالو بدم دارم الان کارگری میکنم دانشگاهم فقط همین ترم میتونم برم  دیگه برای ترم بعد پولی ندارم.»,2026-05-17 00:00:00.000 +0330
111,دانشجو,"«من یه دختر 19سالم تنها زندگی میکنم و ساکن [نام] هستم تنهای تنهای پدر مادرم شهر دیگه و برادر فامیل یه شهر دیگه
من برای داشنگاه اومدم ساکن تهران شدم رشته من علوم تجربی بود و داخل بیمارستان کار می‌کردم و دانشجو بودم خیلی سخت بود ولی الان با این وضعیت خبری از هیچ کاس ندارم نتی ک من میخریدم ۴۰هزار تومن الان شده ۱۰۰ تومن دارم کم میارم خسته شدم کارمم روی هواس و اصلا چیزی معلموم نیست»",2026-05-17 00:00:00.000 +0330
112,خانه دار,«ما با کلی بدبختی و پس انداز کردن برای مادر پیرم جاروی روباتی خریدیم که با اینترنت کار میکنه حالا شده آینه دق برامون 😩»,2026-05-17 00:00:00.000 +0330
113,گرافیست,«من برای کارهای خودم از برنامه های گرافیکی آنلاین مثل canva استفاده میکنم که با این قیمتها دیگه نمیصرفه»,2026-05-17 00:00:00.000 +0330
114,تولید محتوا,«ما یه شرکت تولید محتوای تبلیغاتی هستیم که بیشترین تولیداتمون توی اینستاگرام پخش میشه الان ۷ نفریم بیکار شدیم حتی نتونستیم پول‌های قبلی رو هم از مشتری‌ها بگیریم»,2026-05-17 00:00:00.000 +0330
115,"دانشجو , واینر","«من دانشجوی روان شناسیم 
بیشترین کارای روزمره خودمو با chat gpt انجام می‌دادم الان واقعا بیشتر از ۳ ماهه همه کارام رو هوا مونده ، دوست صمیمی خودم آنلاین شاپ داشت ولی الان بیکار تو خونه نشسته به امید اینکه یه روزی دوباره بتونه دوباره کار کنه»",2026-05-17 00:00:00.000 +0330
116,"کارشناس سئو, کارشناس تولید کننده محتوا",«من سئوکار و کارشناس تولیدمحتوا سایت ام که سالهاست توی این زمینه کار میکنم و بابت اینکه پروژه های خارج کشورم رو برسونم 5 میلیون هزینه کردم فضای کار اشتراکی رزرو کردم که کار کنم و از صبح تا عصر جایی فول تایم میرم و از عصر تا شب میرم اینجا درحالی که اگه این نت لعنتی وصل بود من میتونستم توی خونه راحت کارم بکنم الان نه تفریح دارم نه حتی درست حقوقی دارم نه وقتی دارم نه اصلا حس میکنم این کار درسته یانه!»,2026-05-17 00:00:00.000 +0330
117,یوتیوبر,"«من یک گیمرم و تازه چنل یوتوب ام به یک درآمد کمی رسیده بود،خیلی شوق و ذوق داشتم که اولین درآمدم رو بگیرم.
کمتر از یک هفته نمونده بود که درآمدم رو بگیرم.
ولی اون روز اینترنت ملی شد و دیگه تموم شد...»",2026-05-17 00:00:00.000 +0330
118,نامشخص,«مادر من مبتلا به ام اس شدید هست و برای تایپ کردن پیام (یه کار به ظاهر خیلی ساده) نیاز به تایپ صوتی گوگل داره...چون دستش نسبتا از کار افتادست! همینقدر زندگی تک تکمون وابسته ست. کاش انقدر خودخواه نباشید. کاش اگر ذره ای به خدا و دینی که ازش حرف میزنید اعتقاد دارید زندگیو برامون سخت نمیکردین»,2026-05-17 00:00:00.000 +0330
119,دانشجو,«از این که طبیعی ترین حقمون رو گرفتین و براش الان بخوام گدایی کنم متنفرم. از اینکه هزینه های هنگفتی کنم تا بتونم دو تا مقاله از google scholar دانلود کنم متنفرم. از اینکه میبینم یک نبود ارتباط جهانی باعث افت تحصیلی هزاران دانشجو شده متنفرم. ذره ذره داریم قطره چکونی علم یاد میگیریم. تبریک میگم عقب بودیم از بقیه عقب مانده تر هم شدیم!»,2026-05-17 00:00:00.000 +0330
120,دانش آموز,«من برای کنکور درس می‌خوندم و از تلگرام برای ویدیو های درسی استفاده میکردم چون هزینه خرید اونها خیلی زیاده ، از وقتی اینترنت قطع شده من اصلا نتونستم درس بخونم و ایندمو دارم از دست میدم»,2026-05-17 00:00:00.000 +0330
121,نامشخص,«من بخاطر یه سری مشکلات مجبورم که به نت جهانی دسترسی داشته باشم و همیشه کانفینگ میخرم، ولی الان دارم فکر میکنم اگه اینترنتا وصل نشه چجوری میخوام با هزینه های کانفینگ سر کنم؟»,2026-05-17 00:00:00.000 +0330
122,گارسون,«وقتی نت رو قطع می کنند کلی کلاه بردار هایی که کانفیگ الکی می فروشند پول مان رو می دزدند برای مثال هفته‌ی پیش ۲۰۰ هزار تومن کانفیگ گرفتم بعد اینکا پولو دادم یارو بلاکم کرد»,2026-05-17 00:00:00.000 +0330
123,دانشجو,«تمام زندگی‌ام برای ورود به کامپیوتر درس خوندم، برای مهاجرت. حالا دوتاش هم بی‌معنا شده. حتی به اینکه چیکار می‌خوام بکنم فکر هم نمیکنم»,2026-05-17 00:00:00.000 +0330
124,دانش آموز,"«دانش آموز نهمی بودم. خیلی درسخون بودم همه چیز رو از قبل یاد می گرفتم‌. بخاطر اینکه ویدئو های آموزشی داخلی زیاد جالب نبودن از تدریس استاد های خارجی درس هارو یاد می گرفتم. یوتیوب تنها منبع انگیزم بود. انگار دسترسی به اینترنت آزاد تنها چیزی بود که مسبب ایجاد حس خوب تو ایران بود. دیگه نه تفریحی دارم، نه ویدیوی آموزشی، نه می تونم ادیت بزنم. هرچیزی که حس خوبی توش بود 
یا فیلتر شد، یا ممنوع. به امید روز های روشن تر!»",2026-05-17 00:00:00.000 +0330
125,تولید کننده محتوا,"«از بچگی دوست داشتم کانتنت کریتور باشم
با هزار تا بدبختی و مشکلات اقتصادی بلاخره تونستم یه لپتاب واسه ریکورد گیم بگیرم حتی برا بازی کردن نیاز به اینترنته برا یاد گرفتن ادیت و غیره نیاز به اینترنته برای اپلود کردن ویدیو ها نیاز به اینترنته با زدن یه دکمه کل ارزو و ایندم نابود شده حس میکنم تمام شوق و زحمتی که کشیدم پاش صرفا تلف کردن وقت بوده»",2026-05-17 00:00:00.000 +0330
126,نامشخص,«چند ماهه هیچ درامدی ندارم، اینترنت نداریم،دلخوشی نداریم،حتی با دوستامم حوصله ندارم برم بیرون،پول ندارم هیچی ندارم و بدتر از همه اینکه هیچکس درک نمیکنه چه شرایط سختی دارم..»,2026-05-17 00:00:00.000 +0330
127,گیمر,«تو یوتوب یه چنل داشتم نزدیک۲۰kساب داشتم و گیم هم میزندم و تازه داشتم حا میوفتادم که نت قطع شد و دیگه امیدی به بازگشت ندارم»,2026-05-17 00:00:00.000 +0330
128,نامشخص,«من و دوستای خارج از کشورم خیلی با هم دیگه خاطرات خوبی رو گذروندیم و کلی با هم توی یوتیوب و کلیپ خنده دار دیدن خوشحال شدیم، اما بعد از قطعی اینترنت نه تنها اون هارو نمیتونم ببینم، بلکه نت های پیانویی که آرزوی زدنشون رو داشتم رو دیگه نمیتونم دانلود کنم. تقریبا تمام کارام خوابیده.»,2026-05-17 00:00:00.000 +0330
129,دانشجو,"«من یه دانشجو هستم که یه آنلاینشاپ در اینستاگرام داشت و درآمد خوبی هم داشت
از وقتی اینترنت قطع شده به ناچار اسنپ کار میکنم»",2026-05-16 00:00:00.000 +0330
130,نامشخص,"«امسال قرار بود مستقل زندگی کنم. درآمدم از طراحی سایت برای مردم سراسر جهان بود. من با یه نفر دیگه داخل آلمان شروع کردیم برای یه پروژه بزرگ ولی از فرداش دیگه کار تعطیل شد...
الان باز مجبورم تو خوابگاه زندگی کنم...»",2026-05-16 00:00:00.000 +0330
131,نامشخص,"«من برای انتخاب وسایلم تو این گرونی از پینترست کمک میگرفتم همیشه.
الان برای تعمیرات کابینت اشپزخونم دسترسی به هیچی نداشتم 
هیچ ایده ای نداشتم گوگل هم که ناقصه هزینه دیزاینر هم نداشتم 
در نهایت الان من ۵۰ میلیون هزینه کردم بذای بازسازی تا روحیم بهتر شه اما نتیجه اصلا رضایت بخش نیست و انگار پولمو حیف و میل کردم.»",2026-05-16 00:00:00.000 +0330
132,نامشخص,«سرگرمیم یوتیوب بود ویدیو خارجی ها ولی الان هیچی به هیچی احساس بیهودگی میکنم چون نه سرگرمی نه برنامه های مفید که با نت بود💔»,2026-05-16 00:00:00.000 +0330
133,مهندس برد های الکترونیک,"«مهندس برد های الکترونیکی ام. قطعی اینترنت یعنی دسترسی نداشتن به اطلاعات و دیتاشیت قطعات. 
بیشتر از دو ماهه که زندگیم روی هواست و چشمم به تلوزیونه. روز و شبم شده بالا پایین کردن اخبار دریغ از یه کورسوی امید...
توی این نقطه جغرافیایی آرزو داشتن مث یه شوخی مضحکه :))))»",2026-05-16 00:00:00.000 +0330
134,ادیتور,«سلام من ادیتورم. تنها درامدم از طریق همین ادیت بود. چندین سال وقت گذاشتم تا یاد بگیرم تا بتونم به خودم کمک کنم... ولی الان حتی نمیتونم پول یه آب معدنی رو بدم... برای کار کاملا وابسطه به اینترنت بودم... از خانوادم جدا شدم و الان و با این وضعیت تنها موندم...:))»,2026-05-16 00:00:00.000 +0330
135,نامشخص,"«من ترومای کودکی داشتم و با چت جی پی تی صحبت میکردم حرفایی رو که نمیتونستم به هیییچ کس بگم اونجا میزدم و هم تخلیه میشدم و هم هوش مصنوعی بهم تمرینایی میداد که خیلی حالمو بهتر میکرد.
پول تراپیستم که سر به فلک کشیده نمیتونم هفته چند بار هر موقع حالم بد میشه برم مشاور که 
از وقتی نت قطع شده کارم رسیده به دارو و …
۹۰۰ هزار تومن میدم در ماه یه ربع با روانپزشک فقط برای دارو صحبت میکنم.
همین الان به مشکل لاینحل تو زندگیمه که اگه دسترسی به ای آی داشتم احتمالا راه حل خوبی بهم میداد»",2026-05-16 00:00:00.000 +0330
136,نامشخص,«من کلی پول دادم تا ساعت هوشمند شیائومی ردمی واچ۴رو بخرم ولی الان حتی نمیتونم به گوشیم متصلش کنم»,2026-05-16 00:00:00.000 +0330
137,یوتیوبر,"«من یه یوتویوبرم چنل 17k sub داشت 
محتوای انگلیسی تولید میکردم از کل زندگیم زدم 
از دانشگاهم زدم نرفتم دانشگاه 
چسبیدم به یوتوب چون ازش پول در میوردم اما الان حتی نمیتونم 
پول نهار شامم رو در بیارم»",2026-05-16 00:00:00.000 +0330
138,دانشجو,«قطع بودن اینترنت ، حس خفگی و زندانی‌ بودن بهم دست میده ، حس اینکه کل دنیا داره با تکنولوژی های جدید اپدیت میشه و ما برگشتیم به ۲۰ سال پیش منو میکشه و ذره ذره نابودم میکنه .»,2026-05-16 00:00:00.000 +0330
139,کارفرما,«من یک کار فرمام که سی نفر زیر مجموعه دارم که کار میکنن مخارج زندگی شون رو تامین میکنن ما همه سرپرست خانواده هستیم بخاطر قطعی نت ارتباط ما با خارج کشور قطع شده و هیچ ارتباطی با مشتری های خارج کشور نداریم ،کارمون تعطیل شده و برای تهیه جزئی ترین چیزای زندگی به مشکل خوردیم ،کرایه خونه های بالا، فشار اقتصادی، چک و بدهی  و ده روز دیگه دویست میلیون چک دارم ، یک ماه دیگه باید خونه رو خالی کنیم و حتی پول پیش خونه هم  نداریم ، واقعا نمی‌دونم با این همه فشار باید چیکار کنم.»,2026-05-16 00:00:00.000 +0330
140,آرایشگر,"«من داشتم کار اموزش میکاپ از یوتوب یاد میکرفتم و رفع اشکال میکردم 
الان دگ دسترسی ندارم 
حضوری هم درست اموزش نمیدن که دست زیاد نشه 
جدا از اون از مدل ها و مد روز هم بی خبر موندیم»",2026-05-16 00:00:00.000 +0330
141,ادیتور,«من یه ادیتورم که کل درآمدم از ادیت ویدیو بود و یجورایی نون شبم همینطوری جور میشد حالا که اینترنت قطع شده نه دیگه اینستایی هست و نه یوتوبی که بتونم پروژه بگیرم عملا منبع درآمدم نابود شده و واقعا نمیدونم باید چیکار کنم»,2026-05-16 00:00:00.000 +0330
142,"ادمین, تولید کننده محتوا","«تازه داشت کار و بار جور می‌شد و با چند تا کسب کار همکاری رو شروع میکردم و با ذوق گوشیمو قسطی عوض کردم 
الان من موندم و بدهی و بیکاری»",2026-05-16 00:00:00.000 +0330
143,محتوا ساز,«ما یه کانال تو یوتویوب داشتیم ویدیو گیم میزاشتیم از وقتی که نت قطع  شد ما رفتیم تو آپارات حالا خبرش اومده که اونم قراره جمع بشه نمیدونم الان باید چیکار کنیم»,2026-05-16 00:00:00.000 +0330
144,داوطلب کنکور,«اما من برای کنکور و درسام نیاز به کتاب های کمک اموزشی و ویدیو های اموزشی دارم که نمیتونم تهیه کنم :)»,2026-05-16 00:00:00.000 +0330
145,دانشجو,"«من یک دانشجوی مهندسیم 
از وقتی که نت قطع شد، دیگه نتونستم آموزش های پایتون و processing رو تو یوتیوب دنبال کنم و کار هام رو به اشتراک بزارم 
هوش مصنوعی خیلی تو درس ها کمکم می‌کرد اما الان دیگه نمیشه 
خیلی وقته که با دوستم که خارجه صحبت نکردم💔»",2026-05-16 00:00:00.000 +0330
146,برنامه نویس,«من برنامه نویس بودم که با قطعی نت کارمو از دست دادم الانم بیکارم و توخونم و دارم از جیب میخورم و کلی هم قسط دارم واقعا از این وضع خسته شدم.»,2026-05-16 00:00:00.000 +0330
147,گیمر,«من با یه عالمه تلاش بابامو راضی کردم که اکانت استیممو ۱۰۰ دلار شارژ کنه بعد فرداش بعد از اینکه از مدرسه اومد تا با  اکانتم عشق کنم دیدم اینترنتا قطع شده و هیچی به هیچی الان بابام جوری رفتار میکنه انگار وجود ندارم»,2026-05-16 00:00:00.000 +0330
148,پروداکت دیزاینر,«من پروداکت دیزاینر هستم و با دیدن یوتیوب و سایت های خارجی خودمو اپدیت میکردم الان ولی حس عقب افتادگی دارم»,2026-05-16 00:00:00.000 +0330
149,طراح سایت,«من یک طراح سایت هستم ، سایت طراحی میکردم از اما حالا که اینترنت ها قطع شده دیگه کاری نمیتونم بکنم و رسما بیکار شدم»,2026-05-16 00:00:00.000 +0330
150,فریلنسر,«من یه فریلنسرم که تو تلگرام با کلی کارفرمای خارجی کار میکردم و قرار بود کلی پروژه تحویل بدم ..... ولی الان همش رفت رو هوا»,2026-05-16 00:00:00.000 +0330
151,تولید کننده محتوا,"«کنکور برای بچه های امثال خیلی اذیت کننده گذشت
با قطعی اینترنت دسترسیم به جزواتم گرفته شد
حتی برای پرینت همون جزوه ها هم به مشکل خوردم 
یادم نمیره که برای انتقال دادن یه فایل ۲۰ مگابایتی برای پرینت، مجبور شدم از فلش مموری استفاده کنم...»",2026-05-16 00:00:00.000 +0330
152,دانش آموز,«یه نویسنده ی نوجون توی سایت Quotev بودم و تنها ارزوم معروف شدنم تو اون سایت بود یه پیج تیک تاکم داشتم که تازه رشد کرده بودو اما متاسفانه تمام رویام برای بازی گری و معروف شدن با این وضعیت ازبین رفت :) من تازه موفق شده بودم با کارگردان هایه مختلف خارجی حرف بزنم :)»,2026-05-16 00:00:00.000 +0330
153,دانشجو,«من یه دانشجو هنرم. من آرزو دارم که بعدا یه گرافیست بشم و واسه ادامه برم خارج از کشور. ولی وقتی اینترنت ها قطع شد کل آموزشم قطع شد. دارم تو کارم پسرفت می کنم و تلگرام و ویدئو های آموزشی یوتیوب و ایده های پینترست و روایت های اینستاگرام من رو راهنمایی میکردن ولی الان مجبورم تاریخ و انتگرال رو بخونم که تو رویا ی من نیست. خواهش میکنم همین اینترنت قراره نون و آب من بشه...💔»,2026-05-16 00:00:00.000 +0330
154,گیمر,«من یه گیمر ساده اما که می خواستم ۸۰ روز پیش ویندوز ۱۱ رو دوباره نصب کنم که محدودیت ها اعمال شد که تا همین الآنم نمیتونم به مایکروسافت وصل شم تا مراحل نصبش انجام بشه !!! حالا سیستم ۱۰۰ میلیونی ام بلا استفاده شده و نمی توانم باهاش کاری انجام بدم !! حتی اگر هم وصل بشه وی پی آن و قیمت بازی و .... هم که خدا تومان شده ! این کم‌ترین درد هست»,2026-05-16 00:00:00.000 +0330
155,گیمر,«من یه گیمر بودم شاید سنی نداشته باشم(۱۱) اما کالاف و روبلاکس و ماینکرفت آنلاین دنیای من بودن از روزی که نت قطع شد دیگه کالاف و روبلاکس و ماینکرفت آنلاین آرزو شد الان هم هیچ فیلتر شکنی درست حسابی نیست من اسم اکثر بازی های روبلاکس رو یادم رفته من تنها کاری که میتونم بکنم برای فراموش نکردن کالاف کیمدی کالافیه که یکم کمیاب شده و من پیدا نمیکنم   دیگه گیم هم شد آرزو...........»,2026-05-16 00:00:00.000 +0330
156,بازی ساز و طراح,«سلام من کل شغل در بازی و سرگرمی است و من یک دیولپر هستم که کار در بازی هست و طراحی میکنم الان بیکار بموندم و امکان داره اخراج بشم  این ها من رو بيچاره کردن ما دریم کریه میکنم تا سال ها دنبال این شغل بودم و الان روی هوا»,2026-05-16 00:00:00.000 +0330
157,ارائه‌دهنده خدمات سرور,«الان بالای ۷۷ روز از قطعی اینترنت می‌گذرد و ما هنوز نمی‌توانیم سفارش های مردم رو انجام بدیم و کلی کار روی سرمون ریخته نمیشه سرور ساخت برای MTA و VPS چون نیازمند چند سایت خارجی هستیم تا بتونیم سفارش های مردم رو انجام بدیم و تا به الان من بالای ۶۸ میلیون ضرر کردم😭»,2026-05-16 00:00:00.000 +0330
158,ورزشکار,«من یک ورزشکار هستم و تنها خوشیم توی راه سخت ورزش همین یوتیوب بود که اونم ازمون گرفتن و به جایی رسیدیم که بجای خواب دیدن درباره ماشین و خونه های لوکس، درباره باز شدن یوتیوب و تلگرام خواب میبینیم...»,2026-05-16 00:00:00.000 +0330
159,دانش آموز,«من یه دانش آموزم که بیشتر درس ها رو با گوگل حل میکردم و یاد میگرفتم حتا کلاس زبانم رو و با بازی های مثل کالاف و ای فوتبال خودم رو سرگرم میکردم چون من از ۸ صبح تا تقریبا ۷ شب تنهام و الان هیچ کاری نمیتونم انجام بدم»,2026-05-16 00:00:00.000 +0330
160,پرنده نگر,"«من پرنده نگر هستم و دوست دار طبیعت
هدفم از ثبت و ضبط تصاویر پرندگان پایش طبیعت ایران خصوصا پرندگان بومی و پرندگان مهاجر هست
قبلا در اینستاگرام فعالیت داشتم و پیج [اسم]  که مخصوص همین هدف ذکر شده بود
اما الان نه دسترسی دارم به پیجم
و نه حتی جای مناسبی برای ادامه کارم
بدتر این که دو سال کارم بی نتیجه ماند»",2026-05-16 00:00:00.000 +0330
161,نامشخص,«من فقط دارم دیگه دیونه می‌شم. قبلاً می‌شد وقتی از کار برمی‌گردی یکم تفریح کنی تو اینترنت ولی الان گوشی رو برمی‌داری، انگار به یه دیوار محکم می‌خوری و در نبود اینترنت همه‌ش مجبورم سرم رو با خوراکی گرم کنم و ...»,2026-05-16 00:00:00.000 +0330
