"id","sender_name","experience_text","published_date"
24,ناشناس,«من درامدم از اینستا بود خرج مادرم رو میدادم مریضه اینقدر کم اوردم که دوربین و وسایلمو که با زحمت خریدم و فروختم بتونم پول هزینه قرص و دارو مادرمو بدم…افسردگی گرفتم.»,2026-05-08 00:00:00.000 +0330
25,ناشناس ، یه دانش آموز بدبخت,"«شاید اگه یوتیوب از اول جنگ باز بود من هیچ وقت اینقدر افت تحصیلی نمی کردم ویدیوهای study with me  محرک بسیار قوی بود برام 
لعنت به زندگی»",2026-05-08 00:00:00.000 +0330
26,بد بخت ، دانش اموز,"«من یه دانش آموز ایرانی ام 
که تنها راهی که میتونستم به علایق واقعی خودم دسترسی داشته باشم اینترنت و یوتیوب بود
تنها راهی که میتونستم که با کسی در ارتباط باشم مدرسه و اینترنت بود 
و الان نه کسی دارم و نه انگیزه»",2026-05-08 00:00:00.000 +0330
27,آیلا ، برنامه نویس ، گیمر,"«من یک برنامه نویس هستم از زمانی که اینترنت قطع شده هیچ کاری نمیشه انجام داد اومدن چند تا از سایت های مخصوص (برنامه نویسی رو تعداد بسیار کمی) رو باز کردن ولی عملا دست ما هنوز بسته هست 
به علاوه اون من یک گیمر هم هستم که با هر دو کار ها زندگی خودم رو می گذروندم
الان هم بزور یک کار پیدا کردم ولی دو ماهه حقوق م رو ندادن و اونجا هم تعطیل شده»",2026-05-08 00:00:00.000 +0330
28,علی ، برنامه‌نویس,«من همه درآمدم از ربات های تلگرامم بود و از وقتی این مشکل پیش اومده واقعا نمیدونم باید چجوری زندگیم رو بچرخونم»,2026-05-08 00:00:00.000 +0330
29,گیمر,"«من کارم بوست کردن و رنک آپ کردن اکانت های گیمینگ بود و با واسطه های مختلفی کار میکردیم، نه تنها من کلی گیمر دیگه و در آمد نسبتا خوبی هم داشتیم حتی وقتی پولارو دریافت میکردیم ارز وارد کشور میشد و ما اونارو تبدیل به ریال میکردیم که استفاده کنیم، ولی الان چند ماهه بیکار شدیم و مطمئناً باید دوباره جلب اعتماد کنیم از مشتری های خارجی و واسطه هایی که باهاشون کار میکردیم
بعضیا فک میکنن همه گیمرا واسه سرگرمی فقط بازی میکنن ولی ما به معنای واقعی کار میکردیم و خسته میشدیم داغون میشدیم»",2026-05-08 00:00:00.000 +0330
30,ناشناس ، بازی ساز,«ما یه استدیوی بازیسازی با ده نفر نیرو بودیم ... دیروز برای همیشه استدیو تعطیل شد ... برای همیشه ....»,2026-05-08 00:00:00.000 +0330
31,فرهاد ، دانشجو,"«یادمه یکی از دوستام بهم میگفت بیا بریم ترید یاد بگیریم و فارکس و ..
تازه داشتیم خلاصه وقت درست می کردیم و با ذوق و شوق دنبال پیشرفت بودیم تا به یه درآمدی هم برسیم ولی اینترنت که قطع شد تمام منابع درست و حسابی که داخل تلگرام داشتیم از دسترس خارج شدن و یوتیوب هم همینطور ، خلاصه شروع نکرده مارو به پایان رسوندن و لعنت به این وضعیت ،امید و انگیزه میلیون ها آدم نابود شد»",2026-05-08 00:00:00.000 +0330
32,ناشناس,"«من یک عدد دانش آموز هستم با یه خانواده کاملا سطح معمولی به علت اوضاع بد اقتصادی تورم و گرونی بیش از اندازه تصمیم گرفتم که در کنار مدرسه و درس یه شغل کوچیکی برای خودم جور کنم حداقل خرج خودم رو دربیارم و یه کمک ریزیم کنم به پدرم ولی خب فکر کنم خودتون حدس بزنین چیشد با قطعی نت بین المللی که وارد ٧٠ روز شدیم 
اون شغل کوچیک منم از دست رفت»",2026-05-08 00:00:00.000 +0330
33,علیرضا ، دانشجو,«ترم آخر ارشد بودم و بالاخره قرار بود فارغ‌التحصیل بشم بگرم دنبال کار تا کمک مادرم باشم (پدرم فوت کرده)، ولی با قطع شدن نت و مجازی شدن دانشگاه‌ها پایان‌نامه‌م کامل قفل شده و نمی‌رسم این ترم دفاع کنم. مجبورم مرخصی بگیرم و کلی از برنامه زندگیم عقب بیفتم‌.»,2026-05-08 00:00:00.000 +0330
34,ناشناس ، دانشجو,"«من یک دانشجوی طراحی لباسم که رسما به خاطر نبود اینترنت کل این ترم و هزینه ای که رفتم حیف شد چون تمام رشته ما وابسته به اینترنته و ما رسما فلج شدیم با اینکار💔
واقعاا دیگه بسههه تا کی قراره توی این وضعیت بی اینترنتی بمونیم زندگی مون مختل شده»",2026-05-08 00:00:00.000 +0330
35,ناشناس,"«من یه کنکوری بدبختم :))
به کلی سایت نیاز داشتم که بالا نمیاره
به کلی pdf ‌و جزوه که توی تلگرامه
و هوش مصنوعی که کلی بهم کمک میکرد
رسما رویِ هوا موندم
و کسی درک نمیکنه که چه فشاری روی منه باید دوتا آزمون رو با این وضعیت هندل کنم ..»",2026-05-08 00:00:00.000 +0330
36,امیر,«من برای سرگرمی مبارزات ufc و بوکس میدیدم و چیزی بود که منو شدیدا خوشحال می‌کرد ! الان اینترنت قطعه هی میرم از deepseek میپرسم نتیجه فلان مبارزه چی شد و فقط خبرش رو میتونم بخونم .»,2026-05-08 00:00:00.000 +0330
37,Khody ، برنامه نویس,«من یه برنامه نویسم با شش سال سابقه کاری تو معتبر ترین شرکت ها. تقریبا 3 ماه از امسالو نتونستم توسعه بدم. اون شرکت بنده خدایی که من توش کار میکنم چجوری باید حقوق منو بده وقتی خودش درآمدی نداشته؟ منی که قصد موندن داشتم رو مجبور کردید به مهاجرت فکر کنم. اینترنت طبقاتی راه حل این وضعیت قطعا نیست.»,2026-05-07 00:00:00.000 +0330
38,ناشناس,"«دلم واسه شنیدن دوباره صدای پارتنرم یذره شده-اول اسفند ماه از ایران خارج شد
کار های مهاجرتی من به دلیل شرایط ایران روی هوا مونده
الان تنها چیزی که می خوام اینه که یکبار دیگه صدای همسرم رو بشنوم
یک بار دیگه بشنوم که بهم میگه دوستم داره»",2026-05-07 00:00:00.000 +0330
39,ناشناس ، دانش آموز,«من یه دانش آموز بدبخت توی یه شهرستان دور افتادم که تنها امید به آیندم با درسه که متاسفانه معلم هامون هم اصلا خوب درس نمیدن مخصوصا درس هایی که واقعا نیاز دارم یاد بگیرم و تنها راه یادگیریم چت جی پی تی و گوگل بود که قطع شدن هوش مصنوعی های ایرانی هم همگی از دم یا قطعن یا جواب درست نمیدن خارج از این دو حالت نیست و الان واقعا موندم که چه غلطی بکنم»,2026-05-07 00:00:00.000 +0330
40,ناشناس ، کنکوری,"«سال دوم پشت کنکورمه و الان آخرین فرصتمه و تنها راه خلاصی از دست خانوادم که منو تا مرز خودکشی دارن میبرن قبولی در شهر دیگه‌س
قرار بود کنکور تجربی بدم ولی چون رقابتش خیلی بالاتره و نسبت به انسانی بیشتر به منابع و ویدیوهای آموزشی نیاز داره که به علت قطعی نت نمیتونم بهشون دسترسی پیدا کنم تصمیم گرفتم کنکور انسانی بدم بخصوص که رشته دبیرستانمه ولی حدس بزن چیه؟ چون نت قطعه  نمیتونم منابع و pdfهای تست رو دانلود کنم روبیکا هم هیچی توش دانلود نمیشه و همش خطا خطا میکنه»",2026-05-07 00:00:00.000 +0330
41,ناشناس,«نه میشه از فروم و mailing list استفاده کرد، نه حتی رلیز های گیتهاب رو دانلود کرد، به عنوان نگهدارنده بسته های سیستم عامل الان هیچ کاری از دستم بر نمیاد. جز تماشای سوختن هرچیزی که سعی داشتم بسازم»,2026-05-07 00:00:00.000 +0330
42,Ali ، تدوینگر ، ادیتور,«من خرج قرص های مادرم رو از تدوین ویدیو برای شرکت ها در اینستاگرام و کانالهای یوتیوب در میاوردم، از دی بیکارم، یک خرده پس انداز هم داشتم که تموم شده. نمی‌دونم الان به مادرم چی بگم💔»,2026-05-07 00:00:00.000 +0330
43,ناشناس ، یوتوبور,«من تازه داشتم تو یوتوب در امد کسب میکردم کلی ادیت زدم تو کانال گزاشته بودم کانالم 20 k شده بود که دیگه .......»,2026-05-07 00:00:00.000 +0330
44,ماهان ، برنامه‌نویس,«برای یه برنامه‌نویس اینترنت به شدت حیاتیه. از وقتی اینترنت قطع شده عملاً فلج شدم. اومدن تعداد کمی از سایتای کاربردی برای برنامه‌نویس‌ها رو باز کردن ولی دردی از ما کم نکرده. از یه طرف فیلتر کردن از اون طرف هم خیلی سایتا تحریمن.»,2026-05-07 00:00:00.000 +0330
45,ناشناس,«هر کاری بخوای انجام بدی یک مرحله ش وابسته به اینترنت آزاده. گهگاه میگردی و راه جایگزین پیدا میکنی اما معمولا این راه وجود نداره. یعنی عملا به اندازه تمام مدت خاموشی کارام رو هم جمع شده یا با گذشت زمانش فرصتش برای همیشه از دست رفته»,2026-05-07 00:00:00.000 +0330
46,ناشناس ، استراتژیست محتوا و سناریو,«من مدیر تیم محتوای یک شرکت حوزه مهاجرت و فروش تور بودم از ۹ اسفند کارم و شرکت تعطیل شد و من بیکار شدم 🤦‍♀️»,2026-05-07 00:00:00.000 +0330
47,ناشناس,«شاید اگه اسپاتیفای باز بود و می‌تونستم آهنگ جدید پیدا کنم و چیزهای تکراری گوش ندم و صدای دعوای خانواده رو نمی‌شنیدم اینقدد افسرده نمی‌شدم.»,2026-05-07 00:00:00.000 +0330
48,آزادی,"«بیشتر زندگیم رو تو غم گذروندم تنها جایی که بهش پناه میبردم دنیای مجازی خودم بود 
الان مجبورم با دنیای واقعیم سروکله بزنم‌ 
نمیتونم زبان بخونم،بندهای مورد علاقمو دنبال کنم،به آهنگای جدید گوش بدم و.. حس میکنم خانوادم رو از دست دادم»",2026-05-07 00:00:00.000 +0330
49,بی نام ، دانشجو,«من یک معلولم، تنها امید من برای درآمد، برنامه‌نویسی بود! یکبار یه زبان رو یاد گرفتم و قدم بعدی و آخر برای درآمد، یادگیری فریم‌ورک مد نظر بود و لپتاپم خراب شد و تا بره گارانتی و بیاد کلی طول کشید و همه چی یادم رفت، دوباره شروع کردم به مرور اون زبان که یهو اینترنت قطع شد،. نتونستم ادامه بدم، نمیشه لایبرری یا فریم‌ورکی چیزی نصب کرد و الان نزدیک به ۷۰ روز از قطعی اینترنت میگذره و دوباره همه چیز داره یادم میره. مثلا میخواستم دست روی زانو‌های خودم بزارم و یه کمک به خانوادم کنم:)»,2026-05-06 00:00:00.000 +0330
50,piper,"«من یک سایت خدمات تاسیساتی کوچک دارم و حدود 15 نفر تکنسین متاهل و اکثرا مستاجر که در کنار هم کار میکنیم. از زمان قطع اینترنت و عدم دسترسی گوگل به سرورهای داخلی, صفحات سایت از کار افتاده و داون شده اند. همه ما بیکار و بدون درآمد و چشم به راه باز شدن اینترنت بین الملل هستیم.»",2026-05-06 00:00:00.000 +0330
51,ناشناس,«بعد از ۴۰ روز قطعی نت و بیکاری، با وجود معلولیت شدید، ناچار به اسنپ رو آوردم.»,2026-05-06 00:00:00.000 +0330
52,Faraz ، فریلنسر,«من کارم فریلنسری و کار با شرکتهای خارجیه. متاسفانه از زمان قطعی اینترنت هیچ درآمدی ندارم و مستاجر هستم و این ماه نتونستم اجاره بدم و صاحب خونه منو تحت فشار قرار میده. واقعا شاید برای خیلیا مهم نباشه اما ما درآمدمون از اینترنت بین‌الملل و داره زندگیمون از هم میپاشه.»,2026-05-06 00:00:00.000 +0330
53,ناشناس ، گیمر / دانشجو,"«خسته شدم من دیگه , گیم زدن کلا تو ایران بی معنی شده . از پینگ بد بگیر تا لگ سیستم واقعا دیگه نمیشه تحملش کرد.»",2026-05-06 00:00:00.000 +0330
54,ناشناس,"«من از یه نرم افزار Password manager استفاده میکنم همه پسوردهام اونجا بود و الان به خاطر سیستم داخلی امنیت این نرم افزار به خاطر اینکه بیشتر از 60 روز هست که اینترنت قطعه و نمیتونه با API ارتباط بگیره قفل کرده و تا اینترنت باز نشه اون درست نمیشه
و من موندمو بیشتر از 250 تا پسورد توی اون نرم افزار که مونده الان من دردم به کی بگم؟ من الان توی همون سایت های ایرانی هم میخوام لاگین کنم دسترسی به پسوردهام ندارم این چه وضعیت که درست کردین خسته شدیم وصل کنید دیگه»",2026-05-06 00:00:00.000 +0330
55,بی اهمیت ، ادمین آنلاین,«من از طریق ادمین آنلاین بودن درآمد داشتم برای زندگیم فقط که اونم قطع شده.. هرروز افسردگیم شدید تر می‌شه حتی گیمای آنلاین هم نمیتونم برای حواس پرتی انجام بدم… حس گیج بودن میکنم و نمیدونم باید چیکار کنم شغل بیرون از خونه هم برای وضعیتم نمیتونم..»,2026-05-06 00:00:00.000 +0330
56,الناز ، دانشجوی میکروب,«من یه دانشجوام...وشهریه دانشگاه آزاد میدم..قبلا درحد تلگرام یا گوگل که نت کمی میخواست سوالامو رفع میکردم الان آموزشم مجازی شده که کلی نت میخاد ..گروه های درسیم هم توروبیکا وایتا کلی نت میخاد...این چه اوضاعیه....پول این اینترنت رو از کجا بیاریم...با این اوضاع مالی که برامون درست شده»,2026-05-06 00:00:00.000 +0330
57,ارغوان ، دانش آموز,«من تو این مدت قصدم مهاجرت بود و داشتم زبانمو از طریق پادکست های تو یوتیوب قوی میکردم و تنها دلخوشیم گشتن تو اکسپلور اینستا بود و میم های خنده دارش ولی واقعا الان زبانم،دلخوشیم،و همه چیم رفته رو هوا و اگه یکم دیگه اینترنت همچنان قطع باشه،من و خیلی از ادما دیگه نمیکشیم»,2026-05-06 00:00:00.000 +0330
58,ناشناس,«من فایل ها و فیلم های درسیم رو از تلگرام دانلود میکردم. نه پول خریدن کانفینگ دارم و نه پول خریدن دوره ها و کتاب های درسی رو و حالا با بزرگترین افت تحصیلی عمرم مواجه شدم. از تمام درس هام عقب افتادم از تمام زندگیم عقب افتادم و حالا غول کنکور و امتحانات نهایی رو به رومه و نمیدونم قراره چی به سرم بیاد!»,2026-05-06 00:00:00.000 +0330
59,ناشناس ، دانش‌آموز,«من بحز مشکلات درسیم و این چیزها ، حتی دلم برای چنل کوچولوی تلگرامیم که فقط دوستام داشتنش هم تنگ شده. برای شب بیدار موندنا و حرف زدنا. برای بازی‌هامون با ربات تلگرامی. برای به اشتراک گذاری چیزای کوچیک و خوشحال شدن. حتماً که نباید کار مهمی داشت تا اینترنت تبدیل به حق ما بشه. حتی همین اتلاف وقت ها هم حق ماست. ما به ازاش بسته اینترنت می‌خریم و پول می‌دیم.»,2026-05-06 00:00:00.000 +0330
60,محمد حسین ، پژوهشگر اجتماعی,«قطع اینترنت سبب شد من (و خیلی‌های دیگه) به عنوان مخالف جنگ و حمله خارجی نتونیم صدامون رو بلند کنیم.»,2026-05-06 00:00:00.000 +0330
61,یه ایرانی خسته ، کارشناس منابع انسانی,«خسته شدیم.از خاله هام‌که خارج ایرانن دو ماهه بی خبریم.شغل؟ندارم‌چون اینترنت نیست و شرکت ها نیرو نمیگیرن.زمان جنگ حتی خبر ها رو نداشتیم که چی شده و چی نشده.الانم در یأس و ناامیدی محضیم...»,2026-05-06 00:00:00.000 +0330
62,Diva(ne) ، انیماتور,"«درود؛ من انیماتور تازه‌کار هستم، هنوز مشغول یادگیریم و از اونجایی که کیفیت آموزش زیر خط فقره، من خیلی چیزا رو از یوتیوب یاد میگرفتم و داشتم نمونه کار آماده میکردم تا کار پیدا کنم. و الان ۹۰ درصد کار من مختل شده 🙏🏻🌹
عملا هیچ راهی برای دیدن محتواهای بقیه جهت الهام گرفتن و یاد گرفتن، و هیچ راهی برای دیده شدن کار هام نیست.»",2026-05-06 00:00:00.000 +0330
63,موژان ، دانش آموز,"«قبل از قطعی نت تمام اطلاعاتمو از توی یوتوب کسب میکردم و هرچیزی نیاز داشتم اونجا میدیدم مثل تئاتر ها فلسفه های مختلف تفسیر کتاب ها و... 
الان از هیچ منبعی نمیتونم اطلاعات کسب کنم وایت لیست جواب منو نمیده و اپ های داخلی هم کارایی جالبی ندارن»",2026-05-06 00:00:00.000 +0330
64,بیکار ، ادمین شبکه‌های اجتماعی,"«ادمین شبکه‌های اجتماعی بودم
با قطعی نت اون کار با حقوق ناچیزش از بین رفت
امیدی به چنل یوتیوبم هم ندارم…
همسرم هم گرافیست بود اونم تعدیل شد
و حالا هر دو بیکاریم…»",2026-05-06 00:00:00.000 +0330
65,ناشناس ، یه گیمر,«والا با دلار ۱۹۰ تومانی دل خوشی نداشتیم یه گیم کالاف بود که اونم ازمون گرفتن»,2026-05-06 00:00:00.000 +0330
66,نوا ، دانش آموز,«فکر میکنین گوگل باز نشده اما خیلی از سایتهای ایرانی حتی قابل دسترسی نیستن. منبع کتاب من تلگرام بود که خب فیلتر شد. فقط میخواستم یه کتاب دانلود کنم ، تو گوگل سرچ کردم ده تا سایت آورد، ۶ تاشون باز نمیشدن. اونایی هم که باز میشدن بدرد نخورد بودن. فکر کن تو بخاطر وضع مالی مجبوری کتاب الکترونیک بخونی ولی حتی به جایی رسیدی که واسه دانلود یه پی دی اف باید هفت خوان رستم رو طی کنی! کجای دنیا اینطوریه؟»,2026-05-06 00:00:00.000 +0330
